Name,Type,Owner,Region,Location,Supply,Fuel,Port,Port_SPS,P Exp,Airbase,Airbase_SPS,A Exp,Forts,F Exp,Eng,Nav,Air S (P),AV,Garrison,Troop Cap,HQ,Japan VP,Allied VP,ID,Troop Cap Max
Akita,Base,0,Japan,"117,55",2130,9200,1,1,,1,7,0,0,9,0,74 (74),86 (0),0,0,1713,General Defence Army,3 (1),150 (50),222,unlim
Ominato,Base,0,Japan,"119,54",18930,37300,5,6,0,1,7,0,0,9,62,443 (0),40 (26),49,0,15865,General Defence Army,7 (1),350 (50),223,unlim
Asahikawa,Airfield,0,Japan,"121,51",3555,0,0,0,,1,7,0,0,9,48,0 (0),0 (0),412,0,13726,General Defence Army,2 (1),100 (50),224,unlim
Fukuoka,Base,0,Japan,"103,57",76020,176400,10,7,,2,7,0,0,9,11,56 (56),107 (9),8,0,3460,General Defence Army,14 (1),700 (50),225,unlim
Hakodate,Base,0,Japan,"119,53",33690,27200,6,4,,2,7,0,0,9,0,112 (112),0 (0),0,0,3748,General Defence Army,10 (1),500 (50),226,unlim
Hamamatsu,Base,0,Japan,"111,61",2250,900,1,1,,1,7,0,0,9,23,28 (28),131 (0),8,0,3462,General Defence Army,3 (1),150 (50),227,unlim
Hiroshima/Kure,Base,0,Japan,"106,58",350421,631200,9,9,,10,7,,1,,67,601 (0),103 (18),37,0,14934,General Defence Army,29 (1),1450 (50),228,unlim
Kagoshima,Base,0,Japan,"102,60",33690,2400,4,5,0,4,5,0,0,9,18,37 (37),22 (27),274,0,11456,General Defence Army,12 (1),600 (50),229,unlim
Kanazawa,Base,0,Japan,"111,57",5190,0,1,1,,1,7,0,0,9,59,54 (54),24 (0),396,0,14680,General Defence Army,3 (1),150 (50),230,unlim
Kobe,Base,0,Japan,"108,59",210660,180500,10,9,,10,7,,0,9,59,56 (56),107 (0),448,0,25829,General Defence Army,30 (1),1500 (50),231,unlim
Kochi,Base,0,Japan,"106,60",13155,500,3,2,,2,6,0,0,9,0,74 (74),0 (0),0,0,0,General Defence Army,7 (1),350 (50),232,unlim
Kofu,Beach,0,Japan,"113,60",20,0,0,0,,0,3,0,0,9,0,0 (0),0 (0),0,0,0,General Defence Army,0 (1),0 (50),233,unlim
Kumamoto,Base,0,Japan,"102,59",13215,500,3,2,,2,7,0,0,9,11,44 (44),107 (0),8,0,3212,General Defence Army,7 (1),350 (50),234,unlim
Kushiro,Base,0,Japan,"123,53",13155,500,3,2,,2,6,0,0,9,0,37 (37),0 (0),0,0,0,General Defence Army,7 (1),350 (50),235,unlim
Maebashi,Airfield,0,Japan,"113,59",8430,0,0,0,,4,3,,0,9,0,0 (0),0 (0),0,0,1020,General Defence Army,8 (1),400 (50),236,unlim
Maizuru,Base,0,Japan,"110,58",127050,157300,5,6,0,6,6,,1,,66,266 (44),45 (4),57,0,9949,General Defence Army,17 (1),850 (50),237,unlim
Matsue,Base,0,Japan,"107,57",2100,0,1,1,,1,6,0,0,9,12,74 (74),23 (0),0,0,1238,General Defence Army,3 (1),150 (50),238,unlim
Matsuyama,Base,0,Japan,"105,59",8430,500,3,1,,1,4,0,0,9,0,225 (225),0 (0),0,0,0,General Defence Army,5 (1),250 (50),239,unlim
Muroran,Base,0,Japan,"120,52",13155,2800,3,4,0,2,7,0,0,9,0,74 (74),0 (0),31,0,1296,General Defence Army,7 (1),350 (50),240,unlim
